"track_name","artist_name"
"I See Red (slowed, pitched, reverb)","oct6via - Everybody Loves An Outlaw"
"I Wanna Be Yours","Arctic Monkeys"
"I Wasn't There","Rosemary Fairweather"
"idontwannabeyouanymore","Billie Eilish"
"Illuminate","TENDER"
"In Circles (feat. Ashley Barrett)","Transistor"
"In Flames","Lungley"
"Inner Light","Elderbrook & Bob Moses"
"Inundated","Tora"
"Irreplaceable","Ed Patrick"
"Irreversible","Fhin"
"It All Comes Down to This","Aquilo"
"It Rains","Tenterhook"
"Italove","Emmanuëlle"
"Jealous","Fjord"
"Jericho","Iniko"
"Joanna","Sevdaliza"
"Josephine","RITUAL"
"Jungle","Tash Sultana"
"Kalt (feat. JOONIE)","O3ohn"
"Keep Cold","Numcha"
"Kiss and Collide","blondfire"
"Kiss Me More","Doja Cat"
"Know You","Sylo"
"Last Night In Los Feliz","Niia"
"Lay You Down","RINI"
"Laying Low","ELI"
"Led Astray","Thunder Jackson"
"LEFT RIGHT","XG"
"Leo","Amongster"
"less of you","keshi"
"Let's Play Birds","Fismoll"
"Let Go","Galimatias"
"Let It Go","James Bay"
"Let Me Down Slowly","Adam Christopher, Alessia Cara"
"Lets Play Birds","Fismoll (JacM Remix)"
"Life Vest (Demo)","Ed Patrick"
"Lights","Ellie Goulding"
"Lights On","XY&O"
"Lime Habit","POLIÇA"
"Little By Little","The Marías"
"Little Dark Age","MGMT"
"Little Lover (TEEMID Remix)","Nick Broadhurst"
"Lose Control","Teddy Swims"
"Losing Myself","Sylo"
"Losing You","Christian Kuria"
"Lost Cause","Hannah Georgas"
"Love's Gone","Haarlo"
"Love and War","Diane Birch"
"Love Is a Bitch","Two Feet"
"Love Quotes","Jenevieve"
"Love You Lately","RKCB & Ariana & the Rose"
"Low Light","Art School Girlfriend"
"Lucid Dream","Topic"
"Made For Me","Muni Long"
"Make Them Wheels Roll","SAFIA"
"Man On The Moon","Powers"
"Mariella","Khruangbin & Leon Bridges"
"Masochist","Mr. Fijiwiji & Matt Van"
"Me And My Guitar","Tep No"
"Melt","TENDER"
"Meridian","su na"
"Metamorphosis (Extended Mix)","Interworld"
"Midnight City","M83"
"MILLION DOLLAR BABY","Tommy Richman"
"Millions","Always Never"
"mirage","slenderbodies"
"Moments","Kidnap & Leo Stannard"
"Moments (feat. Black Atlass)","OVERWERK"
"moods","slenderbodies"
"Moon","Art School Girlfriend"
"Moon in Your Mouth","Goldfrapp"
"Movement","Hozier"
"Movin On","Shoffy"
"Murder To The Mind","Tash Sultana"
"My Love","Route 94"
"Naive","RKCB"
"Need Somebody","Always Never"
"Need You","Ember Island"
"Need You Now","Lady Antebellum"
"Never Let Me Go","Ghostly Kisses"
"New Love","Miller Blue"
"Night Time","Borneland & Falcon Punch"
"Nightcall","Kavinsky"
"Nightfall (feat. Emily Harvey & Jack Durtnall)","Little Shoes Big Voice"
"No Gold","Akine"
"No One","HateBerry"
"No Sleep For The Dreamer","BOY"
"No Sympathy","Jenevieve"
"Nobody Hurts Like Me For You","Slumberville & St. South"
"Not Me","MELVV"
"Nxwhere","Jenevieve"
"Nylon","Kllo"
"Ocean","Devon Baldwin"
"Ocean Drive","Duke Dumont"
"Oceane","RINI"
"Oh Devil","Electric Guest"
"OH NO!","Rozes & Cody Lovaas"
"Old Clothes","Maliya"
"Oldest Trick","Chris Velan"
"On & Off","Ghostly Kisses"
"On & On","Saib & FloFilz"
"On My Knees","RÜFÜS DU SOL"
"On The Top","LIZOT"
"One In A Million","Midnight To Monaco"
"One Last Kiss","Hikaru Utada"
"One Of The Girls x Streets","TommyMuzzic"
"One on One","Wildson"
"Only Love","PVRIS"
